gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Random Sampling,,,satified Sampling,,,,,,,,,,Cluster sampling,,
female,group D,high school,free/reduced,none,49,57,52,0.030179051,,female,group C,some college,standard,completed,67,81,79,0.022456119,,,,,
female,group B,high school,standard,completed,68,83,78,0.030394607,,female,group E,master's degree,free/reduced,none,45,56,54,0.022742991,,,,,
female,group E,some college,standard,none,67,76,75,0.031511302,,female,group C,some college,free/reduced,none,62,67,62,0.024567175,,,,,
female,group C,high school,standard,completed,60,64,74,0.033534876,,female,group C,some college,standard,completed,87,89,94,0.024712117,,,,,
female,group D,some high school,free/reduced,none,48,54,53,0.034161128,,female,group B,some high school,free/reduced,none,18,32,28,0.026583016,,,,,
female,group D,some high school,standard,completed,64,60,74,0.036402597,,female,group C,some college,standard,none,82,90,94,0.029878269,,,,,
female,group C,some college,standard,completed,88,93,93,0.040602239,,female,group D,high school,free/reduced,none,49,57,52,0.030179051,,,,,
female,group C,some college,standard,none,73,80,82,0.043692435,,female,group B,high school,standard,completed,68,83,78,0.030394607,,,,,
female,group B,high school,standard,none,66,72,70,0.046421016,,female,group E,some college,standard,none,67,76,75,0.031511302,,,,,
female,group B,some high school,free/reduced,none,72,81,79,0.048316066,,female,group C,high school,standard,completed,60,64,74,0.033534876,,,,,
female,group B,some high school,free/reduced,completed,74,90,88,0.048416017,,female,group D,some high school,free/reduced,none,48,54,53,0.034161128,,,,,
female,group C,master's degree,free/reduced,none,52,65,61,0.049005349,,female,group D,some high school,standard,completed,64,60,74,0.036402597,,,,,
female,group C,some college,standard,completed,71,71,80,0.051319164,,female,group C,some college,standard,completed,88,93,93,0.040602239,,,,,
female,group B,high school,free/reduced,completed,76,85,82,0.056563103,,female,group C,some college,standard,none,73,80,82,0.043692435,,,,,
female,group C,associate's degree,free/reduced,completed,68,67,69,0.05708721,,female,group B,high school,standard,none,66,72,70,0.046421016,,,,,
female,group A,bachelor's degree,standard,none,45,59,64,0.059635829,,female,group B,some high school,free/reduced,none,72,81,79,0.048316066,,,,,
female,group B,master's degree,standard,none,90,95,93,0.060257882,,female,group B,some high school,free/reduced,completed,74,90,88,0.048416017,,,,,
female,group D,associate's degree,free/reduced,none,46,56,57,0.060670385,,female,group C,master's degree,free/reduced,none,52,65,61,0.049005349,,,,,
female,group D,associate's degree,free/reduced,completed,75,90,88,0.062774921,,female,group C,some college,standard,completed,71,71,80,0.051319164,,,,,
female,group B,high school,free/reduced,none,50,67,63,0.067054321,,female,group B,high school,free/reduced,completed,76,85,82,0.056563103,,,,,
female,group C,some college,free/reduced,none,35,44,43,0.067590385,,female,group C,associate's degree,free/reduced,completed,68,67,69,0.05708721,,,,,
female,group B,high school,standard,none,54,64,68,0.06907662,,female,group A,bachelor's degree,standard,none,45,59,64,0.059635829,,,,,
female,group E,master's degree,standard,completed,94,99,100,0.072201731,,female,group B,master's degree,standard,none,90,95,93,0.060257882,,,,,
female,group A,associate's degree,free/reduced,none,37,57,56,0.073851054,,female,group D,associate's degree,free/reduced,none,46,56,57,0.060670385,,,,,
female,group C,some high school,standard,completed,65,74,77,0.074261564,,female,group D,associate's degree,free/reduced,completed,75,90,88,0.062774921,,,,,
female,group C,associate's degree,standard,none,53,62,53,0.076053529,,female,group B,high school,free/reduced,none,50,67,63,0.067054321,,,,,
female,group C,high school,free/reduced,none,33,41,43,0.084222119,,female,group C,some college,free/reduced,none,35,44,43,0.067590385,,,,,
female,group A,bachelor's degree,standard,none,51,49,51,0.095148996,,,,,,,,,,,,,,,
female,group B,bachelor's degree,free/reduced,none,78,79,76,0.09566877,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,none,87,94,95,0.096671015,,male,group D,some high school,free/reduced,completed,55,59,59,0.005719322,,,,,
female,group D,associate's degree,free/reduced,completed,42,61,58,0.097872899,,male,group D,associate's degree,free/reduced,none,66,62,64,0.008470144,,,,,
female,group C,bachelor's degree,standard,none,65,72,74,0.099904762,,male,group E,some high school,standard,none,94,88,78,0.011235175,,,,,
female,group E,high school,standard,none,74,76,73,0.100687634,,male,group B,some college,free/reduced,none,40,43,39,0.023024788,,,,,
female,group B,associate's degree,standard,none,53,58,65,0.10290405,,male,group A,bachelor's degree,standard,completed,87,84,87,0.023484677,,,,,
female,group C,some college,standard,none,54,64,65,0.104522719,,male,group D,some college,standard,completed,71,61,69,0.028170454,,,,,
female,group D,bachelor's degree,standard,completed,71,76,83,0.105978129,,male,group E,some high school,standard,completed,89,84,77,0.028823199,,,,,
female,group E,high school,standard,completed,59,63,75,0.110079462,,male,group D,associate's degree,standard,none,61,48,46,0.038289793,,,,,
female,group B,bachelor's degree,standard,none,97,97,96,0.11104182,,male,group D,some college,standard,none,81,82,84,0.04326094,,,,,
female,group C,some college,free/reduced,none,77,90,91,0.111099823,,male,group A,high school,standard,none,57,43,47,0.043933112,,,,,
female,group B,some college,free/reduced,none,45,53,55,0.111324949,,male,group B,high school,free/reduced,none,66,77,70,0.045390393,,,,,
female,group B,high school,standard,none,65,64,62,0.111976805,,male,group B,high school,standard,completed,72,65,68,0.045586503,,,,,
female,group C,high school,free/reduced,none,42,62,60,0.11288248,,male,group C,some college,free/reduced,none,80,64,66,0.046268976,,,,,
female,group B,some college,free/reduced,none,74,81,76,0.11301808,,male,group D,bachelor's degree,standard,none,80,73,72,0.048728981,,,,,
female,group B,some college,standard,completed,88,95,92,0.115471065,,male,group C,high school,standard,none,75,81,71,0.053365721,,,,,
female,group D,some high school,free/reduced,completed,35,55,60,0.124419638,,male,group A,some college,standard,none,53,43,43,0.054682486,,,,,
female,group C,some high school,free/reduced,completed,29,40,44,0.126766217,,male,group C,some college,free/reduced,none,74,77,73,0.055001317,,,,,
female,group D,some college,standard,completed,85,86,98,0.127425212,,male,group D,some college,standard,none,71,49,52,0.055071771,,,,,
female,group C,bachelor's degree,standard,none,86,92,87,0.129342055,,male,group D,some high school,free/reduced,none,45,37,37,0.055624832,,,,,
female,group D,some college,free/reduced,none,79,89,86,0.134035107,,male,group D,bachelor's degree,free/reduced,completed,61,70,76,0.059399889,,,,,
female,group C,some college,standard,completed,69,90,88,0.13512318,,male,group B,high school,standard,none,52,48,49,0.06186925,,,,,
female,group D,some college,standard,none,98,100,99,0.135414591,,male,group B,some high school,standard,completed,94,86,87,0.062596996,,,,,
female,group B,high school,standard,none,65,81,73,0.137758096,,male,group D,some high school,standard,none,84,84,80,0.065087219,,,,,
female,group D,associate's degree,free/reduced,completed,77,89,98,0.14075334,,male,group C,associate's degree,standard,none,62,65,58,0.065743506,,,,,
female,group B,bachelor's degree,standard,none,75,84,80,0.141000149,,male,group A,some college,standard,completed,61,51,52,0.065901753,,,,,
female,group C,associate's degree,standard,completed,71,77,77,0.142419065,,male,group C,associate's degree,free/reduced,completed,65,73,68,0.069159015,,,,,
female,group B,some high school,standard,completed,60,70,70,0.14297223,,male,group A,some high school,standard,completed,46,41,43,0.069521353,,,,,
female,group D,bachelor's degree,free/reduced,none,78,90,93,0.143377628,,male,group D,bachelor's degree,standard,none,69,58,57,0.070163458,,,,,
female,group C,some college,free/reduced,completed,42,66,69,0.146171841,,male,group C,high school,standard,none,71,66,65,0.070343331,,,,,
female,group D,some college,free/reduced,none,49,65,61,0.146785876,,male,group B,associate's degree,free/reduced,completed,69,70,63,0.070378924,,,,,
female,group C,associate's degree,free/reduced,none,53,61,62,0.147180815,,male,group C,some college,standard,none,59,41,42,0.070690625,,,,,
female,group D,some college,free/reduced,completed,58,63,73,0.150662783,,male,group C,associate's degree,standard,none,47,37,35,0.070836773,,,,,
female,group C,high school,standard,none,29,29,30,0.152254408,,male,group C,high school,standard,none,61,56,55,0.073964554,,,,,
female,group D,associate's degree,standard,none,59,70,65,0.154624706,,male,group C,bachelor's degree,free/reduced,none,53,58,55,0.075948368,,,,,
female,group C,associate's degree,standard,completed,67,84,86,0.155885356,,male,group C,some high school,standard,none,73,66,63,0.076338289,,,,,
female,group D,high school,free/reduced,completed,52,57,56,0.15896135,,male,group A,associate's degree,free/reduced,none,47,57,44,0.077292632,,,,,
female,group C,some college,standard,none,58,59,66,0.161690466,,male,group E,associate's degree,standard,completed,62,56,53,0.079812282,,,,,
female,group D,bachelor's degree,standard,none,79,89,89,0.16300322,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,none,81,88,90,0.163603159,,,,,,,,,,,,,,,
female,group B,associate's degree,free/reduced,none,54,65,65,0.165411086,,,,,,,,,,,,,,,
female,group C,some college,standard,none,69,78,76,0.167685627,,,,,,,,,,,,,,,
female,group C,some college,standard,none,52,58,58,0.167691289,,,,,,,,,,,,,,,
female,group D,some high school,free/reduced,completed,69,86,81,0.172692077,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,none,69,65,74,0.174415351,,,,,,,,,,,,,,,
female,group E,high school,standard,none,99,93,90,0.17878717,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,63,67,70,0.181358608,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,91,86,84,0.182829303,,,,,,,,,,,,,,,
female,group C,some high school,standard,none,65,69,76,0.182883754,,,,,,,,,,,,,,,
female,group D,some high school,standard,completed,65,78,82,0.183250426,,,,,,,,,,,,,,,
female,group C,some high school,free/reduced,completed,65,76,75,0.186857393,,,,,,,,,,,,,,,
female,group E,associate's degree,free/reduced,completed,57,68,73,0.188327733,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,completed,79,88,94,0.191069072,,,,,,,,,,,,,,,
female,group D,high school,standard,completed,69,77,78,0.192868499,,,,,,,,,,,,,,,
female,group A,some college,standard,none,69,84,82,0.193790376,,,,,,,,,,,,,,,
female,group C,some college,free/reduced,completed,64,85,85,0.195132508,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,completed,67,86,83,0.196137813,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,none,59,62,69,0.197964042,,,,,,,,,,,,,,,
female,group B,some college,standard,completed,50,64,66,0.203653866,,,,,,,,,,,,,,,
female,group C,some high school,standard,none,47,54,53,0.205587847,,,,,,,,,,,,,,,
female,group E,some high school,free/reduced,none,72,79,77,0.206876106,,,,,,,,,,,,,,,
female,group C,associate's degree,free/reduced,none,60,75,74,0.207984231,,,,,,,,,,,,,,,
female,group A,some high school,free/reduced,none,44,45,45,0.209232211,,,,,,,,,,,,,,,
female,group D,master's degree,free/reduced,completed,61,71,78,0.209741453,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,completed,77,94,95,0.215537377,,,,,,,,,,,,,,,
female,group C,bachelor's degree,free/reduced,none,44,63,62,0.217180716,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,none,58,67,62,0.217918607,,,,,,,,,,,,,,,
female,group E,master's degree,free/reduced,none,56,72,65,0.223158492,,,,,,,,,,,,,,,
female,group D,master's degree,standard,none,53,61,68,0.224084313,,,,,,,,,,,,,,,
female,group B,some high school,standard,none,57,67,72,0.224426062,,,,,,,,,,,,,,,
female,group E,some high school,free/reduced,none,74,74,72,0.224863537,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,59,72,80,0.225545835,,,,,,,,,,,,,,,
female,group E,bachelor's degree,standard,none,64,73,70,0.226393149,,,,,,,,,,,,,,,
female,group D,some college,standard,completed,69,79,81,0.22674477,,,,,,,,,,,,,,,
female,group E,bachelor's degree,standard,none,100,100,100,0.228403948,,,,,,,,,,,,,,,
female,group C,high school,free/reduced,completed,59,71,65,0.228772131,,,,,,,,,,,,,,,
female,group C,bachelor's degree,free/reduced,completed,43,51,54,0.229077103,,,,,,,,,,,,,,,
female,group E,bachelor's degree,standard,none,37,45,38,0.230555364,,,,,,,,,,,,,,,
female,group D,master's degree,free/reduced,completed,47,58,67,0.232620931,,,,,,,,,,,,,,,
female,group D,associate's degree,free/reduced,none,26,31,38,0.239837678,,,,,,,,,,,,,,,
female,group C,associate's degree,free/reduced,none,65,77,74,0.24119113,,,,,,,,,,,,,,,
female,group C,some college,standard,completed,63,78,80,0.24135522,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,81,97,96,0.242541417,,,,,,,,,,,,,,,
female,group E,some college,standard,none,71,70,76,0.243576751,,,,,,,,,,,,,,,
female,group B,high school,free/reduced,completed,67,80,81,0.244565259,,,,,,,,,,,,,,,
female,group C,some high school,standard,none,77,91,88,0.245322288,,,,,,,,,,,,,,,
female,group A,associate's degree,free/reduced,none,65,85,76,0.248378822,,,,,,,,,,,,,,,
female,group C,some college,standard,none,71,81,80,0.250623,,,,,,,,,,,,,,,
female,group B,bachelor's degree,standard,completed,66,74,81,0.25177024,,,,,,,,,,,,,,,
female,group C,some high school,standard,completed,77,90,85,0.254780786,,,,,,,,,,,,,,,
female,group B,some college,free/reduced,completed,48,56,58,0.255322016,,,,,,,,,,,,,,,
female,group E,bachelor's degree,standard,none,65,73,75,0.25686579,,,,,,,,,,,,,,,
female,group D,master's degree,free/reduced,none,40,59,54,0.259223831,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,51,63,61,0.26156374,,,,,,,,,,,,,,,
female,group C,some college,standard,completed,88,95,94,0.262134156,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,67,84,81,0.264815535,,,,,,,,,,,,,,,
female,group D,high school,standard,none,69,77,73,0.266935878,,,,,,,,,,,,,,,
female,group B,some college,standard,none,19,38,32,0.26839517,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,59,67,61,0.26979587,,,,,,,,,,,,,,,
female,group B,high school,standard,none,62,62,63,0.269884204,,,,,,,,,,,,,,,
female,group A,some high school,free/reduced,none,38,43,43,0.270088351,,,,,,,,,,,,,,,
female,group E,high school,standard,none,50,50,47,0.270653291,,,,,,,,,,,,,,,
female,group B,master's degree,free/reduced,completed,77,97,94,0.278872391,,,,,,,,,,,,,,,
female,group D,high school,standard,none,45,63,59,0.280050876,,,,,,,,,,,,,,,
female,group D,associate's degree,standard,completed,57,78,79,0.28291952,,,,,,,,,,,,,,,
female,group D,some high school,standard,completed,61,74,72,0.283555565,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,64,64,70,0.283801112,,,,,,,,,,,,,,,
female,group C,master's degree,standard,completed,69,84,85,0.28602632,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,81,77,79,0.287460843,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,40,59,51,0.287702837,,,,,,,,,,,,,,,
female,group A,high school,free/reduced,completed,34,48,41,0.288801416,,,,,,,,,,,,,,,
female,group A,some high school,standard,none,48,66,65,0.290034027,,,,,,,,,,,,,,,
female,group C,bachelor's degree,free/reduced,completed,66,74,81,0.291016405,,,,,,,,,,,,,,,
female,group B,some high school,standard,none,62,64,66,0.291043541,,,,,,,,,,,,,,,
female,group D,high school,standard,none,51,66,62,0.29447213,,,,,,,,,,,,,,,
female,group B,some high school,standard,none,67,89,82,0.301871547,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,completed,61,86,87,0.303954968,,,,,,,,,,,,,,,
female,group B,high school,standard,none,42,52,51,0.304546144,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,62,76,80,0.305276488,,,,,,,,,,,,,,,
female,group E,bachelor's degree,standard,none,80,83,83,0.315568147,,,,,,,,,,,,,,,
female,group D,some college,standard,none,63,64,67,0.317002546,,,,,,,,,,,,,,,
female,group D,master's degree,standard,none,55,64,70,0.317621765,,,,,,,,,,,,,,,
female,group E,high school,standard,none,75,86,79,0.317860265,,,,,,,,,,,,,,,
female,group C,some high school,free/reduced,none,48,56,51,0.318120805,,,,,,,,,,,,,,,
female,group C,bachelor's degree,free/reduced,completed,47,62,66,0.320910673,,,,,,,,,,,,,,,
female,group E,high school,standard,completed,74,79,80,0.323490968,,,,,,,,,,,,,,,
female,group E,some college,free/reduced,none,71,76,70,0.326316525,,,,,,,,,,,,,,,
female,group E,some college,standard,completed,63,72,70,0.328147785,,,,,,,,,,,,,,,
female,group A,some college,standard,completed,72,79,82,0.330195653,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,none,49,58,60,0.334255574,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,completed,65,75,77,0.337126643,,,,,,,,,,,,,,,
female,group D,associate's degree,free/reduced,completed,57,74,76,0.33766272,,,,,,,,,,,,,,,
female,group C,some high school,standard,completed,44,51,55,0.339042966,,,,,,,,,,,,,,,
female,group E,some college,standard,none,100,92,97,0.339991072,,,,,,,,,,,,,,,
female,group C,master's degree,standard,none,73,78,74,0.341536957,,,,,,,,,,,,,,,
female,group C,associate's degree,free/reduced,none,54,58,61,0.347100377,,,,,,,,,,,,,,,
female,group D,bachelor's degree,standard,none,65,67,62,0.351479041,,,,,,,,,,,,,,,
female,group A,some high school,free/reduced,none,59,73,69,0.352029569,,,,,,,,,,,,,,,
female,group D,high school,standard,none,56,52,55,0.355108227,,,,,,,,,,,,,,,
female,group C,some college,standard,completed,64,82,77,0.3551144,,,,,,,,,,,,,,,
female,group C,some college,standard,none,59,71,70,0.356570309,,,,,,,,,,,,,,,
female,group D,associate's degree,standard,none,85,91,89,0.357029577,,,,,,,,,,,,,,,
female,group D,associate's degree,free/reduced,none,47,53,58,0.362083499,,,,,,,,,,,,,,,
female,group D,some college,free/reduced,none,60,66,70,0.364214259,,,,,,,,,,,,,,,
female,group E,high school,standard,none,74,81,71,0.368318935,,,,,,,,,,,,,,,
female,group C,high school,free/reduced,none,34,42,39,0.369026599,,,,,,,,,,,,,,,
female,group C,some high school,standard,completed,59,54,67,0.38417967,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,none,63,75,81,0.38552596,,,,,,,,,,,,,,,
female,group C,bachelor's degree,free/reduced,none,62,78,79,0.386180595,,,,,,,,,,,,,,,
female,group D,high school,free/reduced,none,73,92,84,0.386871887,,,,,,,,,,,,,,,
female,group C,some high school,free/reduced,none,44,50,51,0.388707034,,,,,,,,,,,,,,,
female,group B,high school,standard,completed,69,76,74,0.390697548,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,59,73,72,0.392207291,,,,,,,,,,,,,,,
female,group B,master's degree,free/reduced,completed,58,76,78,0.394183423,,,,,,,,,,,,,,,
female,group C,associate's degree,free/reduced,none,64,73,68,0.395758321,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,completed,56,79,72,0.395813668,,,,,,,,,,,,,,,
female,group C,bachelor's degree,free/reduced,none,43,62,61,0.396915593,,,,,,,,,,,,,,,
female,group A,some high school,free/reduced,none,47,59,50,0.39776874,,,,,,,,,,,,,,,
female,group E,associate's degree,standard,completed,93,100,95,0.397873089,,,,,,,,,,,,,,,
female,group E,master's degree,standard,none,62,68,68,0.402838528,,,,,,,,,,,,,,,
female,group C,some college,free/reduced,none,62,72,70,0.403061482,,,,,,,,,,,,,,,
female,group C,some high school,free/reduced,none,55,65,62,0.407488844,,,,,,,,,,,,,,,
female,group B,some college,standard,none,62,67,67,0.408567737,,,,,,,,,,,,,,,
female,group E,high school,free/reduced,none,41,45,40,0.410431436,,,,,,,,,,,,,,,
female,group B,bachelor's degree,free/reduced,none,75,85,82,0.416924646,,,,,,,,,,,,,,,
female,group C,some college,standard,none,55,69,65,0.417484035,,,,,,,,,,,,,,,
female,group C,high school,standard,none,72,80,83,0.417526256,,,,,,,,,,,,,,,
female,group C,high school,free/reduced,none,35,53,46,0.418791179,,,,,,,,,,,,,,,
female,group C,master's degree,free/reduced,completed,65,81,81,0.42132428,,,,,,,,,,,,,,,
female,group B,some college,free/reduced,completed,65,75,70,0.421498156,,,,,,,,,,,,,,,
female,group B,some high school,standard,none,70,64,72,0.421519941,,,,,,,,,,,,,,,
female,group B,high school,standard,none,74,72,72,0.422516495,,,,,,,,,,,,,,,
female,group C,some high school,free/reduced,none,0,17,10,0.429036544,,,,,,,,,,,,,,,
female,group D,some college,standard,none,62,70,72,0.429283581,,,,,,,,,,,,,,,
female,group C,some high school,standard,completed,85,92,93,0.432411853,,,,,,,,,,,,,,,
female,group A,some college,standard,none,54,63,67,0.433484589,,,,,,,,,,,,,,,
female,group D,master's degree,free/reduced,completed,85,95,100,0.433802152,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,59,66,67,0.435129133,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,96,96,99,0.437654871,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,85,89,95,0.444068975,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,76,72,71,0.444310656,,,,,,,,,,,,,,,
female,group C,some high school,free/reduced,none,43,53,53,0.444778307,,,,,,,,,,,,,,,
female,group A,high school,standard,completed,68,80,76,0.445116945,,,,,,,,,,,,,,,
female,group D,some high school,standard,completed,97,100,100,0.446463441,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,57,77,80,0.448483951,,,,,,,,,,,,,,,
female,group D,some college,standard,completed,79,84,91,0.449100517,,,,,,,,,,,,,,,
female,group C,some high school,free/reduced,completed,71,84,87,0.450140625,,,,,,,,,,,,,,,
female,group C,high school,standard,none,61,72,70,0.451430079,,,,,,,,,,,,,,,
female,group C,associate's degree,free/reduced,completed,82,93,93,0.453473974,,,,,,,,,,,,,,,
female,group B,some high school,standard,none,73,79,79,0.453637699,,,,,,,,,,,,,,,
female,group E,some high school,standard,completed,80,85,85,0.454974678,,,,,,,,,,,,,,,
female,group C,bachelor's degree,free/reduced,none,50,60,59,0.45509865,,,,,,,,,,,,,,,
female,group A,high school,standard,completed,75,82,79,0.455196491,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,none,83,93,95,0.457108731,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,83,85,90,0.457748575,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,none,65,77,74,0.458810816,,,,,,,,,,,,,,,
female,group B,high school,standard,completed,77,82,89,0.45882469,,,,,,,,,,,,,,,
female,group D,associate's degree,standard,completed,73,75,80,0.460323876,,,,,,,,,,,,,,,
female,group A,some college,standard,none,56,58,64,0.461259826,,,,,,,,,,,,,,,
female,group C,some college,standard,none,84,87,91,0.470722995,,,,,,,,,,,,,,,
female,group D,some college,standard,none,69,77,77,0.471177583,,,,,,,,,,,,,,,
female,group C,some college,standard,none,62,69,69,0.472651945,,,,,,,,,,,,,,,
female,group E,some college,standard,none,68,70,66,0.474504686,,,,,,,,,,,,,,,
female,group E,high school,free/reduced,completed,57,75,73,0.476567268,,,,,,,,,,,,,,,
female,group C,associate's degree,free/reduced,completed,56,68,70,0.476859892,,,,,,,,,,,,,,,
female,group A,high school,standard,none,61,68,63,0.480432716,,,,,,,,,,,,,,,
female,group B,high school,free/reduced,completed,46,54,58,0.484357596,,,,,,,,,,,,,,,
female,group B,high school,free/reduced,none,71,87,82,0.484718778,,,,,,,,,,,,,,,
female,group A,some college,standard,completed,78,87,91,0.486829518,,,,,,,,,,,,,,,
female,group C,master's degree,standard,completed,54,64,67,0.487373129,,,,,,,,,,,,,,,
female,group C,some high school,standard,completed,76,87,85,0.48931232,,,,,,,,,,,,,,,
female,group B,associate's degree,standard,completed,90,90,91,0.491571146,,,,,,,,,,,,,,,
female,group C,bachelor's degree,standard,none,67,69,75,0.498256752,,,,,,,,,,,,,,,
female,group D,bachelor's degree,free/reduced,none,29,41,47,0.49968154,,,,,,,,,,,,,,,
female,group B,some college,free/reduced,none,58,61,66,0.503067485,,,,,,,,,,,,,,,
female,group D,some college,standard,none,80,90,89,0.505307666,,,,,,,,,,,,,,,
female,group B,some college,standard,none,63,65,61,0.50548367,,,,,,,,,,,,,,,
female,group B,high school,free/reduced,completed,23,44,36,0.507777186,,,,,,,,,,,,,,,
female,group D,associate's degree,standard,none,77,77,73,0.508243481,,,,,,,,,,,,,,,
female,group D,some high school,standard,none,65,82,81,0.508722133,,,,,,,,,,,,,,,
female,group D,master's degree,standard,none,64,63,66,0.508736586,,,,,,,,,,,,,,,
female,group E,high school,free/reduced,none,64,62,68,0.509440842,,,,,,,,,,,,,,,
female,group D,some college,standard,completed,68,78,77,0.511107369,,,,,,,,,,,,,,,
female,group D,master's degree,standard,none,92,100,100,0.511376434,,,,,,,,,,,,,,,
female,group D,some college,standard,completed,75,77,83,0.514335142,,,,,,,,,,,,,,,
female,group B,some high school,free/reduced,none,49,58,55,0.514456728,,,,,,,,,,,,,,,
female,group C,master's degree,free/reduced,none,40,58,54,0.514924445,,,,,,,,,,,,,,,
female,group D,some high school,free/reduced,none,27,34,32,0.51495791,,,,,,,,,,,,,,,
female,group C,associate's degree,standard,completed,75,82,90,0.51814521,,,,,,,,,,,,,,,
female,group E,master's degree,standard,completed,88,99,95,0.518719509,,,,,,,,,,,,,,,
female,group D,associate's degree,free/reduced,completed,74,88,90,0.519294225,,,,,,,,,,,,,,,
female,group D,some high school,standard,completed,80,92,88,0.519758922,,,,,,,,,,,,,,,
female,group C,high school,standard,none,63,69,74,0.520112069,,,,,,,,,,,,,,,
female,group E,associate's degree,free/reduced,none,70,84,81,0.521989948,,,,,,,,,,,,,,,
female,group C,high school,free/reduced,completed,67,79,84,0.522073511,,,,,,,,,,,,,,,
female,group B,bachelor's degree,standard,completed,65,81,81,0.525351997,,,,,,,,,,,,,,,
female,group C,high school,free/reduced,completed,50,66,64,0.525577257,,,,,,,,,,,,,,,
female,group C,some high school,standard,none,74,75,82,0.52647692,,,,,,,,,,,,,,,
